ID,Case Number,Date,Time,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude
9484627,HX138338,02/03/2014,10:09:00 PM,049XX W ERIE ST,486,BATTERY,BATTERY: DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1532,15,37,25,08B,1143453,1903906,2014,41.89235349994754,-87.74861053380226
9484592,HX138309,02/03/2014,10:05:00 PM,004XX W GOETHE ST,1310,CRIMINAL DAMAGE,CRIMINAL DAMAGE: TO PROPERTY,APARTMENT,true,false,1821,18,27,8,14,1173124,1908967,2014,41.9056346118796,-87.63949129293275
9484597,HX138330,02/03/2014,10:00:00 PM,0000X N PINE AVE,486,BATTERY,BATTERY: DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,1522,15,28,25,08B,1139537,1899963,2014,41.881605739727455,-87.76308880304482
9485529,HX138922,02/03/2014,10:00:00 PM,083XX S HALSTED ST,1310,CRIMINAL DAMAGE,CRIMINAL DAMAGE: TO PROPERTY,WAREHOUSE,false,false,613,6,21,71,14,1172382,1849665,2014,41.742920842858524,-87.64396474199297
9484620,HX138299,02/03/2014,10:00:00 PM,0000X W 103RD ST,320,ROBBERY,ROBBERY: STRONGARM - NO WEAPON,STREET,false,false,511,5,9,49,3,1178034,1836720,2014,41.70727197629548,-87.62364676272652
9484670,HX138391,02/03/2014,09:59:00 PM,011XX S WHIPPLE ST,2024,NARCOTICS,NARCOTICS: POSS: HEROIN(WHITE),STREET,true,false,1134,11,28,29,18,1156164,1894836,2014,41.86721733386932,-87.70217301480078
9484674,HX138318,02/03/2014,09:53:00 PM,068XX S STONY ISLAND AVE,1330,CRIMINAL TRESPASS,CRIMINAL TRESPASS: TO LAND,CONVENIENCE STORE,true,false,332,3,5,43,26,1187998,1860057,2014,41.77107990547216,-87.58641724328795
9484652,HX138347,02/03/2014,09:50:00 PM,049XX N KOLMAR AVE,560,ASSAULT,ASSAULT: SIMPLE,APARTMENT,true,true,1712,17,39,14,08A,1144603,1932683,2014,41.97129875548749,-87.74366013453123
9484601,HX138340,02/03/2014,09:50:00 PM,056XX W NORTH AVE,486,BATTERY,BATTERY: DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2531,25,29,25,08B,1138085,1910022,2014,41.90923524198736,-87.76817727829038
9484613,HX138336,02/03/2014,09:50:00 PM,043XX N PULASKI RD,554,ASSAULT,ASSAULT: AGG PO HANDS NO/MIN INJURY,ALLEY,true,false,1722,17,39,16,08A,1148900,1928761,2014,41.960454262318855,-87.72796132315644
9484615,HX138311,02/03/2014,09:50:00 PM,002XX E 132ND ST,486,BATTERY,BATTERY: DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,533,5,9,54,08B,1180132,1817875,2014,41.65551084612561,-87.61653807064673
9484653,HX138312,02/03/2014,09:47:00 PM,043XX W KAMERLING AVE,486,BATTERY,BATTERY: DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2534,25,37,23,08B,1147048,1908588,2014,41.90513342314974,-87.73528759385907
